nome,preco,sku,stock,tema,subtema,peso
Scream,2,SC05,6,Marvel,semsubtema,10
Vegeta v2,1.95,VV05,6,Dragon Ball,semsubtema,10
Beerus ,1.95,BE03,6,Dragon Ball,semsubtema,10
Buggy,2.25,BU01,6,One Piece ,semsubtema,10
Javali montada dos Anões,1.95,JM01,6,O Senhor dos Anéis,semsubtema,10
Trunks,1.95,TR04,6,Dragon Ball,semsubtema,10
Captain Rex,1.75,CR01,6,Star Wars,semsubtema,10
Lola Bunny,2.25,LB01,7,Looney Tunes,semsubtema,10
Robin Buckley v3,1.75,RB05,7,Stranger Things,semsubtema,10
Steve Harrington v3,1.95,SH09,7,Stranger Things,semsubtema,10
Nancy Wheeler v3,1.95,NW02,7,Stranger Things,semsubtema,10
Donatello,1.95,DO05,7,Tartarugas Ninja,semsubtema,10
Wonder Woman BD,1.95,WW05,7,DC Comics,semsubtema,10
Green Lantern Clássico,1.95,GL03,7,DC Comics,semsubtema,10
Aquaman BD,1.95,AB01,7,DC Comics,semsubtema,10
NED-B,1.75,NB03,7,Star Wars,semsubtema,10
Poupas,2.25,PO02,7,Rua Sésamo,semsubtema,10
Jonathan Byers,1.75,JB01,7,Stranger Things,semsubtema,10
Will Byers v2,1.75,WB02,7,Stranger Things,semsubtema,10
Mike Wheeler v2,1.75,MW05,7,Stranger Things,semsubtema,10
Faraó do Egipto v2,1.95,FD02,7,Tempos Antigos,semsubtema,10
Piccolo,1.95,PI01,7,Dragon Ball,semsubtema,10
Jiren,1.95,JI02,7,Dragon Ball,semsubtema,10
Blackbeard Marshall D. Teach,2.25,VD01,7,One Piece ,semsubtema,10
Tony Tony Chopper ,1.75,HX04,7,One Piece ,semsubtema,10
Nico Robin v2,2.45,NR02,7,One Piece ,semsubtema,10
Usopp,2.25,US03,7,One Piece ,semsubtema,10
Portgas D. Ace v2,2.45,PD05,7,One Piece ,semsubtema,10
Monkey D. Luffy v3,2.95,MD07,8,One Piece ,semsubtema,10
Sabo v2,2.95,SV01,8,One Piece ,semsubtema,10
Boa Hancock ,2.95,BH02,8,One Piece ,semsubtema,10
Nefertari Vivi ,2.55,NV01,8,One Piece ,semsubtema,10
Henry Creel,1.75,HC02,8,Stranger Things,semsubtema,10
Green Arrow Clássico,1.95,GA06,8,DC Comics,semsubtema,10
Freeza ,1.95,FR03,8,Dragon Ball,semsubtema,10
Son Gohan,1.95,SG11,8,Dragon Ball,semsubtema,10
Donquixote Doflamingo ,2.45,DD07,8,One Piece ,semsubtema,10
Borsalino Kizaru v2,2.25,BK06,8,One Piece ,semsubtema,10
Kaido ,2.75,KA03,8,One Piece ,semsubtema,10
Nami,1.95,HX03,8,One Piece ,semsubtema,10
Jinbe ,2.55,JI01,8,One Piece ,semsubtema,10
Hulk XL,4.5,HX01,8,Marvel,Avengers,10
Monkey D. Garp v2,2.75,MD04,8,One Piece ,semsubtema,10
Smoker,2.95,SM03,8,One Piece ,semsubtema,10
Monkey D. Dragon ,2.75,MD02,8,One Piece ,semsubtema,10
Kuzan ,2.75,KU02,8,One Piece ,semsubtema,10
Eleven Season 5,1.95,ES03,9,Stranger Things,semsubtema,10
Demogorgon v3,1.95,DV09,9,Stranger Things,semsubtema,10
Michelangelo,1.95,MI01,9,Tartarugas Ninja,semsubtema,10
Nancy Wheeler v1,1.95,NW01,9,Stranger Things,semsubtema,10
Darth Desolous,2.75,DD02,9,Star Wars,semsubtema,10
Broly,2,BR04,9,Dragon Ball,semsubtema,10
Whitebeard Edward Newgate v2,2.45,WE02,9,One Piece ,semsubtema,10
Crocodile v2,2.45,CV17,9,One Piece ,semsubtema,10
Akainu v2,2.25,AV02,9,One Piece ,semsubtema,10
Vecna v1,2.25,VV01,10,Stranger Things,semsubtema,10
Mr. Gold ,3.95,MG03,10,Diversos,semsubtema,10
Monkey D. Luffy v2,2.45,MD06,10,One Piece ,semsubtema,10
Dustin Henderson v1,1.95,DH03,11,Stranger Things,semsubtema,10
Gol D. Roger ,2.95,GD01,11,One Piece ,semsubtema,10
Vecna v2,1.95,VV02,12,Stranger Things,semsubtema,10
Leonardo,1.95,LE03,12,Tartarugas Ninja,semsubtema,10
Kingpin v2,2.75,KV02,12,Marvel,semsubtema,10
Lucas Sinclair v2,1.75,LS05,13,Stranger Things,semsubtema,10
Will Byers v3,1.95,WB03,14,Stranger Things,semsubtema,10
C-3PO Gold,3.95,CP02,16,Star Wars,semsubtema,10
Son Goku v2,1.75,SG13,0,Dragon Ball,semsubtema,10
R2-D2,1.75,RD01,2,Star Wars,semsubtema,10
Captain Tarpals,1.95,CT03,0,Star Wars,semsubtema,10
Kraven the Hunter 2024,1.75,KT05,1,Marvel,semsubtema,10
Starkiller,1.75,ST07,1,Star Wars,semsubtema,10
Embo,1.75,EM07,2,Star Wars,semsubtema,10
Kanan Jarrus ,1.75,KJ01,2,Star Wars,semsubtema,10
Han Solo v1,1.75,HS04,2,Star Wars,semsubtema,10
Mace Windu Hood,1.75,MW02,2,Star Wars,semsubtema,10
Emperor Palpatine ,1.75,EP04,2,Star Wars,semsubtema,10
Chi-Chi,1.75,CC06,2,Dragon Ball,semsubtema,10
Chiaotzu ,1.75,CH05,3,Dragon Ball,semsubtema,10
Nick Fury,1.75,NF02,4,Marvel,Avengers,10
The Thing v2,1.75,TT05,4,Marvel,F4,10
O Senhor dos Nazgûl,1.75,OS01,4,O Senhor dos Anéis,semsubtema,10
Anakin Skywalker Dark Side,1.75,AS03,4,Star Wars,semsubtema,10
Michael Myers,1.75,MM12,4,Filmes e Séries,semsubtema,10
Grand Inquisitor,1.75,GI04,4,Star Wars,semsubtema,10
Conde Dooku Christopher Lee ,1.75,CD04,5,Star Wars,semsubtema,10
Qui-Gon Jinn v1,1.75,QG01,5,Star Wars,semsubtema,10
Diego Maradona,1.75,DM09,6,Futebol,semsubtema,10
Hulk v2,1.75,HV02,6,Marvel,Avengers,10
Monkey D. Luffy v1,1.75,MD05,6,One Piece ,semsubtema,10
Davy Jones ,1.75,DJ01,11,Piratas das Caraíbas,semsubtema,10
Coleman Trebor,2.25,CT11,14,Star Wars,semsubtema,10
Hamleys Royal Guard,1.75,HR01,2,Militar,semsubtema,10
Vinicius Júnior ,1.75,VJ01,2,Futebol,semsubtema,10
Théoden,1.75,TO01,2,O Senhor dos Anéis,semsubtema,10
Bix Caleen,1.75,BC01,3,Star Wars,semsubtema,10
Dedra Meero,1.75,DM07,3,Star Wars,semsubtema,10
Cassian Andor v2,1.75,CA13,3,Star Wars,semsubtema,10
Leia Organa Skirt,1.75,LO06,3,Star Wars,semsubtema,10
Quarren,1.75,QU01,3,Star Wars,semsubtema,10
Peli Motto e BD-72,1.75,PM02,3,Star Wars,semsubtema,10
Will Turner ,1.75,WT01,3,Piratas das Caraíbas,semsubtema,10
Maccus,1.75,MA01,3,Piratas das Caraíbas,semsubtema,10
Yondu,1.75,YO01,3,Marvel,GG,10
Galadriel v1,1.75,GV01,3,O Senhor dos Anéis,semsubtema,10
Leia Organa Slave,1.75,LO07,3,Star Wars,semsubtema,10
Stass Aliee,1.75,SA07,3,Star Wars,semsubtema,10
Grand Moff Tarkin ,1.75,GM06,3,Star Wars,semsubtema,10
Pai Natal,1.75,PN01,3,Diversos,semsubtema,10
Gandalf o Cinzento v2,1.75,GO04,3,O Senhor dos Anéis,semsubtema,10
General Grievous Creme,1.75,GG03,3,Star Wars,semsubtema,10
Obi-Wan Kenobi Mustafar,1.75,OW06,3,Star Wars,semsubtema,10
Jawa v1,1.75,JV02,3,Star Wars,semsubtema,10
Cristiano Ronaldo v2,1.75,CR04,3,Futebol,semsubtema,10
Guerreiro Anão,1.75,GA07,3,O Senhor dos Anéis,semsubtema,10
Crimson Dynamo ,1.75,CD06,3,Marvel,semsubtema,10
K-2SO,1.25,XK01,1,Star Wars,semsubtema,10
Mr. Sinister,1.75,MS12,2,Marvel,semsubtema,10
Aaron Cash,1.75,AC01,2,DC Comics,semsubtema,10
Fish Mooney ,1.75,FM03,2,DC Comics,semsubtema,10
Radagast ,1.75,RA01,2,O Senhor dos Anéis,semsubtema,10
Shocker ,1.75,SH03,2,Marvel,semsubtema,10
Red Guardian,1.75,RG01,2,Marvel,semsubtema,10
Satele Shan ,1.75,SS02,3,Star Wars,semsubtema,10
Qui-Gon Jinn v2,1.75,QG02,3,Star Wars,semsubtema,10
Ahsoka Tano v2 e R4-K5 ,1.95,AT03,3,Star Wars,semsubtema,10
Mace Windu v1,1.75,MW03,0,Star Wars,semsubtema,10
Storm v2,1.75,NO05,0,Marvel,X-Men,10
Plo Koon v1,1.75,PK01,0,Star Wars,semsubtema,10
Darth Vader Hologram,1.75,DV01,0,Star Wars,semsubtema,10
Imperial Stormtrooper Hologram,1.75,IS07,0,Star Wars,semsubtema,10
Emperor Palpatine Hologram ,1.75,EP05,0,Star Wars,semsubtema,10
Darth Revan Hologram ,1.75,DR01,0,Star Wars,semsubtema,10
First Order Stormtrooper Hologram,1.75,FO05,0,Star Wars,semsubtema,10
Clea,1.75,CL03,0,Marvel,semsubtema,10
Anakin Skywalker Double ,1.75,AS04,0,Star Wars,semsubtema,10
Executioner ,1.75,EX01,1,Marvel,semsubtema,10
Azog v1,1.75,AV10,1,O Senhor dos Anéis,semsubtema,10
Even Piell ,1.75,EP06,1,Star Wars,semsubtema,10
Winter Soldier v2,1.75,NO06,1,Marvel,semsubtema,10
Gloin the Dwarf Aged,1.5,GT02,1,O Senhor dos Anéis,semsubtema,10
Bilbo Baggins Aged v1,1.75,BB03,1,O Senhor dos Anéis,semsubtema,10
Rahm Kota,1.75,RK01,1,Star Wars,semsubtema,10
Shin Hati v2,1.75,AD06,1,Star Wars,semsubtema,10
Huyang v1,1.75,CV18,1,Star Wars,semsubtema,10
Marrok v1,1.75,PV03,1,Star Wars,semsubtema,10
Agatha Harkness ,1.75,AH03,1,Marvel,semsubtema,10
Eduardo Mãos de Tesoura v1,1.75,EM04,1,Filmes e Séries,semsubtema,10
Metallo ,1.75,ME08,1,DC Comics,semsubtema,10
Nebula,1.75,NE01,1,Marvel,GG,10
Aquaman v1,1.75,PV01,1,DC Comics,semsubtema,10
Sanji v1,1.75,SV03,1,One Piece ,semsubtema,10
Khonshu ,1.75,KH01,1,Marvel,semsubtema,10
Groot Jovem v1,1.75,GJ01,1,Marvel,GG,10
Kraglin,1.75,KR05,1,Marvel,GG,10
Leslie Vernon ,1.75,LV01,2,Filmes e Séries,semsubtema,10
Lex Luthor Clássico,1.75,LL01,2,DC Comics,semsubtema,10
Gladiator,1.75,GL02,2,Marvel,X-Men,10
Spider-Man 1602 ,1.75,SM08,2,Marvel,semsubtema,10
Joshamee Gibbs ,1.75,JG03,2,Piratas das Caraíbas,semsubtema,10
British Royal Navy Soldier,1.75,BR03,2,Tempos Antigos,semsubtema,10
Pato Donald,1.75,PD01,2,Disney,semsubtema,10
Thranduil v1,1.75,TV04,2,O Senhor dos Anéis,semsubtema,10
Kang the Conquerer v2,1.75,KT03,2,Marvel,semsubtema,10
Elf Warrior,1.75,EW01,2,O Senhor dos Anéis,semsubtema,10
Darth Sidious e D-O,1.75,DS01,2,Star Wars,semsubtema,10
Battle Droid Geonosis,1.25,CP01,2,Star Wars,semsubtema,10
Huyang v2,1.75,MV01,2,Star Wars,semsubtema,10
Baron Zemo,1.75,BZ01,2,Marvel,semsubtema,10
Luke Skywalker The Mandalorian,1.75,NO04,2,Star Wars,semsubtema,10
Valkyrie,1.75,VA02,2,Marvel,semsubtema,10
Batman TV,1.95,BT04,2,DC Comics,semsubtema,10
Doctor Doom v1,1.95,DD04,2,Marvel,semsubtema,10
Black Adam DCEU,1.75,BA08,2,DC Comics,semsubtema,10
Katana v1,1.75,PV02,2,DC Comics,semsubtema,10
Crocodile v1,1.75,CV16,2,One Piece ,semsubtema,10
Spirit Spider ,1.75,SS09,2,Marvel,semsubtema,10
Obi-Wan Kenobi Clássico,1.75,OW02,2,Star Wars,semsubtema,10
Groot Jovem v2,1.75,MJ01,2,Marvel,GG,10
Kratos Clássico,1.95,EC04,3,Jogos,semsubtema,10
Star-Lord Vol. 3,1.75,SL03,3,Marvel,GG,10
Adam Warlock,1.75,AW02,3,Marvel,GG,10
Cassian Andor Pilot,1.75,CA11,3,Star Wars,semsubtema,10
Gambit,1.75,GA02,3,Marvel,X-Men,10
Sentinel,1.75,SE02,3,Marvel,semsubtema,10
Bishop,1.75,BI03,3,Marvel,X-Men,10
Cable v2 ,1.75,CV02,3,Marvel,X-Men,10
Morph v1,1.75,PV04,3,Marvel,X-Men,10
Blade,1.75,BL04,3,Marvel,semsubtema,10
Battle Droid B1 x 4,1,BD06,3,Star Wars,semsubtema,10
Aqualad,1.75,AQ01,3,DC Comics,semsubtema,10
Hydra Henchman,1.75,HH01,3,Marvel,semsubtema,10
Kraven the Hunter BD,1.75,PT02,3,Marvel,semsubtema,10
Captain Salazar,1.75,PS01,3,Piratas das Caraíbas,semsubtema,10
Poison Ivy Filme Lego,1.75,PI05,3,DC Comics,semsubtema,10
Zebra-Man ,1.75,ZM01,3,DC Comics,semsubtema,10
Detroit Steel,1.75,DS03,3,Marvel,semsubtema,10
Storm v1,1.75,SV11,3,Marvel,X-Men,10
Drax BD,1.75,DB06,3,Marvel,semsubtema,10
Riddler Telltale,1.75,RT05,3,DC Comics,semsubtema,10
Calculator ,1.75,CA01,3,DC Comics,semsubtema,10
Paladin ,1.75,PA03,3,Marvel,semsubtema,10
Captain Cold ,1.75,CC02,3,DC Comics,semsubtema,10
Arnim Zola,1.75,AZ01,3,Marvel,semsubtema,10
Electrocutioner ,1.75,EL01,3,DC Comics,semsubtema,10
Inque,1.75,IN02,3,DC Comics,semsubtema,10
Snowflame ,1.75,SN02,3,DC Comics,semsubtema,10
Mockingbird ,1.75,MO04,3,Marvel,semsubtema,10
Red Arrow,1.75,RA06,3,DC Comics,semsubtema,10
Rei dos Mortos ,1.75,RD04,3,O Senhor dos Anéis,semsubtema,10
Bain Son of Bard ,1.75,BS01,3,O Senhor dos Anéis,semsubtema,10
Gandalf o Branco v1,1.75,GO01,3,O Senhor dos Anéis,semsubtema,10
Beorn,1.75,BE05,3,O Senhor dos Anéis,semsubtema,10
Kao Cen Darach ,1.75,KC01,3,Star Wars,semsubtema,10
Leia Organa Aged,1.75,LO03,3,Star Wars,semsubtema,10
Rako Hardeen,1.75,RH01,3,Star Wars,semsubtema,10
A-Wing Pilot ,1.75,AW01,3,Star Wars,semsubtema,10
Universitário,1.75,UR01,3,Diversos,semsubtema,10
Hela,1.75,HE01,3,Marvel,semsubtema,10
Shalla-Bal Silver Surfer,1.75,SB03,3,Marvel,semsubtema,10
Grey Hulk Joe Fixit,1.75,GH03,3,Marvel,semsubtema,10
Indiana Jones Dial of Destiny,1.75,IJ03,3,Filmes e Séries,semsubtema,10
Lurtz Uruk-hai,1.75,LU03,3,O Senhor dos Anéis,semsubtema,10
Guerreiro Elfo Noldor,1.75,GE01,3,O Senhor dos Anéis,semsubtema,10
Elrond v2,1.75,EV02,3,O Senhor dos Anéis,semsubtema,10
Orc v3,1.75,OV03,3,O Senhor dos Anéis,semsubtema,10
Ronaldinho Barcelona,1.75,RB07,3,Futebol,semsubtema,10
501st Legion Airborne Trooper,1.75,BD02,3,Star Wars,semsubtema,10
Commander Blackout,1.75,BD11,3,Star Wars,semsubtema,10
AAT Driver Battle Droid,1.25,AD01,3,Star Wars,semsubtema,10
Satine Kryze,1.75,SK01,3,Star Wars,semsubtema,10
Sabine Wren,1.75,RD06,3,Star Wars,semsubtema,10
HK-87 Assassin Droid,1.75,RP01,3,Star Wars,semsubtema,10
Coruscant Guard Riot Trooper ,1.75,CG02,3,Star Wars,semsubtema,10
Doc Samson ,1.75,DS04,3,Marvel,semsubtema,10
Cedrico Diggory ,1.75,CD03,3,Harry Potter,semsubtema,10
Bunny ,1.75,BU06,3,Toy Story,semsubtema,10
Rose Tico v2,1.75,RT09,3,Star Wars,semsubtema,10
Ushar,1.75,US02,3,Star Wars,Knights of Ren,10
Obi-Wan Kenobi Clone Wars,1.75,OW03,3,Star Wars,semsubtema,10
Ultron Ultimate,1.75,UU01,3,Marvel,semsubtema,10
Molten Man v2,1.75,MM17,3,Marvel,semsubtema,10
Knull,1.75,KN01,3,Marvel,semsubtema,10
Cheetah,1.75,CH04,3,DC Comics,semsubtema,10
Mera,1.75,ME06,3,DC Comics,semsubtema,10
Kate Bishop e Lucky o cão pizza ,1.75,KB02,3,Marvel,semsubtema,10
Mr. Knight,1.75,MK04,3,Marvel,semsubtema,10
She-Hulk ,1.75,SH01,3,Marvel,semsubtema,10
Katana v2,1.75,MV02,3,DC Comics,semsubtema,10
Venom ,1.75,VE03,3,Marvel,semsubtema,10
Grand Priest,1.75,GP01,3,Dragon Ball,semsubtema,10
Wong,1.75,WO02,3,Marvel,semsubtema,10
Carneiro montada dos Anões,1.95,CM03,3,O Senhor dos Anéis,semsubtema,10
Darth Revan Clássico,1.75,NO01,4,Star Wars,semsubtema,10
Teutonic Knight v2,2.5,TK02,4,Tempos Antigos,semsubtema,10
Pelé,1.75,PE02,4,Futebol,semsubtema,10
High Evolutionary,1.75,HE04,4,Marvel,semsubtema,10
Evil Highlander ,1.75,EH03,4,Filmes e Séries,semsubtema,10
Leprechaun,1.75,LE04,4,Filmes e Séries,semsubtema,10
Mr. Terrific ,1.75,MT05,4,DC Comics,semsubtema,10
Green Lantern Guy Gardner ,1.75,GL05,4,DC Comics,semsubtema,10
Captain Kaido ,1.75,CK02,4,Star Wars,semsubtema,10
Saw Gerrera ,1.75,SG03,4,Star Wars,semsubtema,10
Mother Talzin,1.75,MT03,4,Star Wars,semsubtema,10
The Son of Mortis,1.75,TS01,4,Star Wars,semsubtema,10
Asajj Ventress Clone Wars,1.75,AV07,4,Star Wars,semsubtema,10
Mole Man ,1.75,MM15,4,Marvel,semsubtema,10
Shin Hati v1,1.75,SH02,4,Star Wars,semsubtema,10
Thibaut Courtois,1.75,TC02,4,Futebol,semsubtema,10
White Queen v2,1.75,WQ02,4,Marvel,X-Men,10
Beast,1.75,BE01,4,Marvel,X-Men,10
Jubilee,1.75,JU01,4,Marvel,X-Men,10
Jean Grey,1.75,JG02,4,Marvel,X-Men,10
Rogue,1.75,RO04,4,Marvel,X-Men,10
Storm v3,1.75,SV12,4,Marvel,X-Men,10
Sunspot,1.75,SU03,4,Marvel,X-Men,10
TVA Agent,1.75,TA10,4,Marvel,semsubtema,10
Kevin De Bruyne ,1.75,KD01,4,Futebol,semsubtema,10
Joker Jack Nicholson ,1.75,JJ04,4,DC Comics,semsubtema,10
Bib Fortuna,1.75,BF02,4,Star Wars,semsubtema,10
Theelin Dancer,1.75,TD02,4,Star Wars,semsubtema,10
Weequay Guard,1.75,WG01,4,Star Wars,semsubtema,10
Henry Turner ,1.75,VS01,4,Piratas das Caraíbas,semsubtema,10
Silent Mary Masthead ,1.75,SM01,4,Piratas das Caraíbas,semsubtema,10
Bill Turner ,1.75,BT06,4,Piratas das Caraíbas,semsubtema,10
Gunner Zombie ,1.75,GZ04,4,Piratas das Caraíbas,semsubtema,10
Imperial Shock Trooper,1.75,IS04,4,Star Wars,semsubtema,10
Archangel,1.75,AR04,4,Marvel,X-Men,10
Gingerbread Man,1.75,GM05,4,Diversos,semsubtema,10
Dumbledore v3,1.75,DV13,4,Harry Potter,semsubtema,10
Sylvie “Lady Loki” v1,1.75,SL05,4,Marvel,semsubtema,10
Captain Carter,1.75,CC01,4,Marvel,semsubtema,10
Mime,1.75,MI03,4,DC Comics,semsubtema,10
Magik,1.75,MA02,4,Marvel,X-Men,10
Jesse Quick ,1.75,JQ01,4,DC Comics,semsubtema,10
Moaning Myrtle,1.75,MM14,4,Harry Potter,semsubtema,10
Sith Fleet Officer ,1.75,SF03,4,Star Wars,semsubtema,10
Lex Luthor Superman Suit,1.75,SL01,4,DC Comics,semsubtema,10
White Canary,1.75,WC01,4,DC Comics,semsubtema,10
Agent X ,1.75,AX01,4,Marvel,semsubtema,10
Egghead ,1.75,EG02,4,DC Comics,semsubtema,10
Hugo Strange Gotham,1.75,HS09,4,DC Comics,semsubtema,10
Taskmaster Udon,1.75,TU01,4,Marvel,semsubtema,10
Bard The Bowman,1.75,BT03,4,O Senhor dos Anéis,semsubtema,10
Rei Bruxo de Angmar ,1.75,RB02,4,O Senhor dos Anéis,semsubtema,10
Thorin Oakenshield,1.75,TO02,4,O Senhor dos Anéis,semsubtema,10
Yazneg ,1.75,YA02,4,O Senhor dos Anéis,semsubtema,10
Elrond v1,1.75,EV01,4,O Senhor dos Anéis,semsubtema,10
Mestre da Cidade do Lago,1.75,MD01,4,O Senhor dos Anéis,semsubtema,10
Arwen v1,1.75,AV05,4,O Senhor dos Anéis,semsubtema,10
Kili the Dwarf,1.75,KT04,4,O Senhor dos Anéis,semsubtema,10
Senador Palpatine ,1.75,SP01,4,Star Wars,semsubtema,10
TC-4 Protocol Droid,1.75,TP01,4,Star Wars,semsubtema,10
Malakili ,1.75,MA05,4,Star Wars,semsubtema,10
Owen Lars,1.75,OL01,4,Star Wars,semsubtema,10
M-OC Hunter Droid,1.75,MO01,4,Star Wars,semsubtema,10
Lieutenant Mitaka ,1.75,LM01,4,Star Wars,semsubtema,10
Galactic Marine,1.75,GM01,4,Star Wars,semsubtema,10
Yoda Dagobah ,1.75,YD01,4,Star Wars,semsubtema,10
Han Solo v2,1.75,HS05,4,Star Wars,semsubtema,10
Elite Praetorian Guard ,1.75,EP02,4,Star Wars,semsubtema,10
Range Trooper,1.75,RT02,4,Star Wars,semsubtema,10
Ultron Infinity,1.75,UI01,4,Marvel,semsubtema,10
Adolf Hitler v3,2.5,AH02,4,Militar,semsubtema,10
Grinch,1.75,GR05,4,Filmes e Séries,semsubtema,10
Orc v1,1.75,OV01,4,O Senhor dos Anéis,semsubtema,10
Goblin,1.75,GO05,4,O Senhor dos Anéis,semsubtema,10
Arwen v2,1.75,AV06,4,O Senhor dos Anéis,semsubtema,10
Tauriel,1.75,TA06,4,O Senhor dos Anéis,semsubtema,10
Thranduil v2,1.75,TV05,4,O Senhor dos Anéis,semsubtema,10
Gandalf o Branco v2,1.75,GO02,4,O Senhor dos Anéis,semsubtema,10
Saruman v2,1.75,SV06,4,O Senhor dos Anéis,semsubtema,10
Galadriel v2,1.75,GV02,4,O Senhor dos Anéis,semsubtema,10
Adar,1.75,AD02,4,O Senhor dos Anéis,semsubtema,10
Bilbo Baggins Aged v2,1.75,BB04,4,O Senhor dos Anéis,semsubtema,10
Neymar Júnior ,1.75,NJ01,4,Futebol,semsubtema,10
Ronaldinho Brasil,1.75,RB08,4,Futebol,semsubtema,10
Ronaldo Fenómeno,1.75,RF02,4,Futebol,semsubtema,10
Luka Modric Croácia,1.75,LM03,4,Futebol,semsubtema,10
David Beckham ,1.75,DB02,4,Futebol,semsubtema,10
Boba Fett v1 e Grogu,1.95,BF06,4,Star Wars,semsubtema,10
Mace Windu Clone Wars,1.75,MW01,4,Star Wars,semsubtema,10
Purge Trooper e D-O,1.75,PT06,4,Star Wars,semsubtema,10
Jedi Temple Guard v2,1.75,MM02,4,Star Wars,semsubtema,10
Imperial Stormtrooper e R2-D2,1.95,IS06,4,Star Wars,semsubtema,10
Padmé Amidala Clone Wars,1.75,CP06,4,Star Wars,semsubtema,10
Obi-Wan Kenobi Kamino e Astromech Droid New Republic,1.95,OW05,4,Star Wars,semsubtema,10
Anakin Skywalker Clone Wars,1.75,AS02,4,Star Wars,semsubtema,10
187th Clone Trooper ,1.75,CT01,4,Star Wars,semsubtema,10
Echo Clone Force 99,1.75,EC02,4,Star Wars,semsubtema,10
Death Trooper ,1.75,DT04,4,Star Wars,semsubtema,10
Cho Chang ,1.75,CC08,4,Harry Potter,semsubtema,10
Dobby,1.75,DO02,4,Harry Potter,semsubtema,10
Shazam DCEU,1.75,SD02,4,DC Comics,semsubtema,10
Alien Little Green Men ,1.75,AL01,4,Toy Story,semsubtema,10
Jason Voorhees,1.75,JV01,4,Filmes e Séries,semsubtema,10
Chucky,1.75,CH07,4,Filmes e Séries,semsubtema,10
Joker Joaquin Phoenix,1.75,JJ06,4,DC Comics,semsubtema,10
Ap'lek,1.75,AL02,4,Star Wars,Knights of Ren,10
Vicrul,1.75,VI01,4,Star Wars,Knights of Ren,10
Galen Marek ,1.75,GM02,4,Star Wars,semsubtema,10
Green Lantern Hal Jordan ,1.75,GL06,4,DC Comics,semsubtema,10
Falcon BD ,1.95,FB01,4,Marvel,Avengers,10
Carnage,1.95,CA10,4,Marvel,semsubtema,10
The Ancient One,1.75,TA08,4,Marvel,semsubtema,10
Crossbones ,1.75,CR06,4,Marvel,semsubtema,10
Human Torch v1,1.75,HT01,4,Marvel,F4,10
Loki,1.75,LO09,4,Marvel,semsubtema,10
White Phoenix ,1.75,WP01,4,Marvel,X-Men,10
Kwaku Anansi,1.75,KA08,4,Marvel,semsubtema,10
Sharon Carter,1.75,SC06,4,Marvel,semsubtema,10
Riddler DCEU,1.75,RD05,4,DC Comics,semsubtema,10
Scarlet Scarab ,1.75,SS03,4,Marvel,semsubtema,10
Mister Fantastic v1,1.75,MF01,4,Marvel,F4,10
Gorr the God Butcher ,1.75,GT03,4,Marvel,semsubtema,10
Peter Quill,1.75,PQ01,4,Marvel,GG,10
Joker Heath Ledger v2,1.75,JH06,4,DC Comics,semsubtema,10
Nightwing,1.75,NI02,4,DC Comics,semsubtema,10
Cara Dune,1.75,CD01,4,Star Wars,semsubtema,10
442nd Clone Trooper,1.75,CT02,4,Star Wars,semsubtema,10
Anakin Skywalker Padawan,1.75,AS05,4,Star Wars,semsubtema,10
Red She-Hulk ,1.75,RS02,4,Marvel,semsubtema,10
Deusa Athena,1.75,DA05,4,Tempos Antigos,semsubtema,10
Kaecilius ,1.75,KA02,4,Marvel,semsubtema,10
Edinson Cavani,1.75,EC03,4,Futebol,semsubtema,10
Son Goku v3,1.75,SG14,4,Dragon Ball,semsubtema,10
Mr. Freeze Arkham City,1.75,MF02,4,DC Comics,semsubtema,10
Tien Shin Han,1.75,TS03,4,Dragon Ball,semsubtema,10
Vegeta v1,1.75,VV04,4,Dragon Ball,semsubtema,10
Akainu v1,1.75,AV01,4,One Piece ,semsubtema,10
Whitebeard Edward Newgate v1,1.75,WE01,4,One Piece ,semsubtema,10
Portgas D. Ace v1,1.75,PD04,4,One Piece ,semsubtema,10
Kobe Bryant,1.75,KB03,4,NBA,semsubtema,10
Stephen Curry ,1.75,SC08,4,NBA,semsubtema,10
Comandante Uruk-Hai,1.75,CU02,4,O Senhor dos Anéis,semsubtema,10
Uruk-Hai v2,1.75,UH02,4,O Senhor dos Anéis,semsubtema,10
Taskmaster MCU,1.75,TM01,4,Marvel,semsubtema,10
Guerreiro de Rohan,1.75,GD04,4,O Senhor dos Anéis,semsubtema,10
Doctor Strange,1.75,DS05,4,Marvel,semsubtema,10
Zeus,1.75,ZE01,4,Marvel,semsubtema,10
Flametrooper Galactic Empire,1.75,FG01,4,Star Wars,semsubtema,10
Wonder Woman,1.75,WW04,4,DC Comics,semsubtema,10
Ursinho Pooh,1.75,UP01,4,Disney,semsubtema,10
Kratos Ragnarok,1.95,MR02,5,Jogos,semsubtema,10
Son Heung-min ,1.75,SH06,5,Futebol,semsubtema,10
James Harden ,1.75,JH01,5,NBA,semsubtema,10
Lebron James ,1.75,LJ01,5,NBA,semsubtema,10
Kylian Mbappé França,1.75,KM02,5,Futebol,semsubtema,10
Mary Shaw ,1.75,MS05,5,Filmes e Séries,semsubtema,10
Ultraman,1.75,UL01,5,DC Comics,semsubtema,10
Hawkgirl ,1.95,HA06,5,DC Comics,semsubtema,10
ISB Tactical Agent,1.75,IT01,5,Star Wars,semsubtema,10
Imperial Security Officer,1.75,IS01,5,Star Wars,semsubtema,10
